City,CountryCode,TotalWeekendHours,StoreCount,AvgWeekendHoursPerStore
"San Juan",US,44,1,44.00
Bayamon,US,44,1,44.00
Zyrardow,PL,22,1,22.00
Zwolle,NL,22,1,22.00
Poprad,SK,22,1,22.00
Pooler,US,22,1,22.00
Zrenjanin,RS,22,1,22.00
Zoetermeer,NL,22,1,22.00
Abbotsford,CA,22,1,22.00
Aberdeen,GB,22,1,22.00
Abha,SA,22,1,22.00
"Abu Dhabi",AE,198,9,22.00
Zlin,CZ,22,1,22.00
Adana,TR,44,2,22.00
"Adeje (Tenerife)",ES,44,2,22.00
Adelaide,AU,22,1,22.00
Zilina,SK,44,2,22.00
Agrigento,IT,22,1,22.00
"Zielona Gora",PL,44,2,22.00
Aguascalientes,MX,22,1,22.00
